"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 16 09:26:44 GMT 2024","Thu May 16 09:26:51 GMT 2024","7408","tests","test_set","","","","test_filter_data_on_table","Test that verifies a user  filters  and on the search results page a search result  is displayed in the table"
"passed","Thu May 16 09:26:25 GMT 2024","Thu May 16 09:26:28 GMT 2024","2836","tests","test_set","","","","test_search[Elena-]","Test that verifies a user  inputs data in search field and on the search results page a search result block is displayed"
"passed","Thu May 16 09:26:52 GMT 2024","Thu May 16 09:26:56 GMT 2024","4719","tests","test_set","","","","test_automatically_change_month_on_calendar","Test that verifies a user  choses a start  month which is ahead of  an end  month  and the end  month is changed automatically"
"passed","Thu May 16 09:26:33 GMT 2024","Thu May 16 09:26:43 GMT 2024","10455","tests","test_set","","","","test_filter","Test that verifies a user  filters  and on the search results page a search result block is displayed"
"passed","Thu May 16 09:26:28 GMT 2024","Thu May 16 09:26:32 GMT 2024","4132","tests","test_set","","","","test_navigate_sidebar","Test that verifies a user navigates throw main menu and sidebar and on the search results page a search result block is displayed"
