"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 16 14:52:04 GMT 2024","Thu May 16 14:52:07 GMT 2024","3278","tests","test_set","","","","test_navigate_sidebar","Test that verifies a user navigates throw main menu and sidebar and on the search results page a search result block is displayed"
"passed","Thu May 16 14:52:17 GMT 2024","Thu May 16 14:52:22 GMT 2024","5342","tests","test_set","","","","test_filter_data_on_table","Test that verifies a user  filters  and on the search results page a search result  is displayed in the table"
"passed","Thu May 16 14:52:08 GMT 2024","Thu May 16 14:52:16 GMT 2024","8498","tests","test_set","","","","test_filter","Test that verifies a user  filters  and on the search results page a search result block is displayed"
"passed","Thu May 16 14:52:22 GMT 2024","Thu May 16 14:52:26 GMT 2024","3228","tests","test_set","","","","test_automatically_change_month_on_calendar","Test that verifies a user  choses a start  month which is ahead of  an end  month  and the end  month is changed automatically"
"passed","Thu May 16 14:52:01 GMT 2024","Thu May 16 14:52:03 GMT 2024","2665","tests","test_set","","","","test_search[Elena-]","Test that verifies a user  inputs data in search field and on the search results page a search result block is displayed"
