"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 16 09:11:59 GMT 2024","Thu May 16 09:12:06 GMT 2024","6936","tests","test_set","","","","test_filter_data_on_table","Test that verifies a user  filters  and on the search results page a search result  is displayed in the table"
"passed","Thu May 16 09:11:48 GMT 2024","Thu May 16 09:11:59 GMT 2024","10074","tests","test_set","","","","test_filter","Test that verifies a user  filters  and on the search results page a search result block is displayed"
"passed","Thu May 16 09:11:44 GMT 2024","Thu May 16 09:11:48 GMT 2024","4258","tests","test_set","","","","test_navigate_sidebar","Test that verifies a user navigates throw main menu and sidebar and on the search results page a search result block is displayed"
"passed","Thu May 16 09:11:40 GMT 2024","Thu May 16 09:11:43 GMT 2024","3376","tests","test_set","","","","test_search[Elena-]","Test that verifies a user  inputs data in search field and on the search results page a search result block is displayed"
"passed","Thu May 16 09:12:07 GMT 2024","Thu May 16 09:12:11 GMT 2024","4509","tests","test_set","","","","test_automatically_change_month_on_calendar","Test that verifies a user  choses a start  month which is ahead of  an end  month  and the end  month is changed automatically"
