"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 16 07:17:10 GMT 2024","Thu May 16 07:17:13 GMT 2024","2579","tests","test_set","","","","test_search[Elena-]","Test that verifies a user  inputs data in search field and on the search results page a search result block is displayed"
"passed","Thu May 16 07:17:33 GMT 2024","Thu May 16 07:17:37 GMT 2024","3869","tests","test_set","","","","test_automatically_change_month_on_calendar","Test that verifies a user  choses a start  month which is ahead of  an end  month  and the end  month is changed automatically"
"passed","Thu May 16 07:17:13 GMT 2024","Thu May 16 07:17:16 GMT 2024","3141","tests","test_set","","","","test_navigate_sidebar","Test that verifies a user navigates throw main menu and sidebar and on the search results page a search result block is displayed"
"passed","Thu May 16 07:17:17 GMT 2024","Thu May 16 07:17:26 GMT 2024","9141","tests","test_set","","","","test_filter","Test that verifies a user  filters  and on the search results page a search result block is displayed"
"passed","Thu May 16 07:17:26 GMT 2024","Thu May 16 07:17:32 GMT 2024","6081","tests","test_set","","","","test_filter_data_on_table","Test that verifies a user  filters  and on the search results page a search result  is displayed in the table"
